axis,key,label,count,status,notice
"muscle","semimembranosus","semimembranosus","7","okWithResults","Eixo coberto por exercicios."
"muscle","abductors","abductors","3","okWithResults","Eixo coberto por exercicios."
"muscle","glute_min","glute min","3","okWithResults","Eixo coberto por exercicios."
"muscle","calves","calves","5","okWithResults","Eixo coberto por exercicios."
"muscle","ankle","ankle","43","okWithResults","Eixo coberto por exercicios."
"muscle","feet","feet","51","okWithResults","Eixo coberto por exercicios."
"muscle","soleus","soleus","3","okWithResults","Eixo coberto por exercicios."
"muscle","ankle_stability","ankle stability","3","okWithResults","Eixo coberto por exercicios."
"muscle","tibialis_anterior","tibialis anterior","2","okWithResults","Eixo coberto por exercicios."
"muscle","obliques","obliques","1","okWithResults","Eixo coberto por exercicios."
"muscle","quadriceps","quadriceps","1","okWithResults","Eixo coberto por exercicios."
"muscle","hip_external_rotators","hip external rotators","1","okWithResults","Eixo coberto por exercicios."
"muscle","cardiovascular","cardiovascular","65","okWithResults","Eixo coberto por exercicios."
"muscle","treadmill_aerobic","treadmill aerobic","9","okWithResults","Eixo coberto por exercicios."
"muscle","treadmill_intervals","treadmill intervals","5","okWithResults","Eixo coberto por exercicios."
"muscle","treadmill_warmup","treadmill warmup","2","okWithResults","Eixo coberto por exercicios."
"muscle","treadmill_easy","treadmill easy","4","okWithResults","Eixo coberto por exercicios."
"muscle","treadmill_moderate","treadmill moderate","2","okWithResults","Eixo coberto por exercicios."
"muscle","hiit","hiit","1","okWithResults","Eixo coberto por exercicios."
"muscle","karate_technical","karate technical","50","okWithResults","Eixo coberto por exercicios."
"muscle","jiu_jitsu_technical","jiu jitsu technical","53","okWithResults","Eixo coberto por exercicios."
"muscle","mobility","mobility","195","okWithResults","Eixo coberto por exercicios."
"muscle","boxe","boxe","24","okWithResults","Eixo coberto por exercicios."
"muscle","kickboxing","kickboxing","19","okWithResults","Eixo coberto por exercicios."
"muscle","muay_thai","muay thai","20","okWithResults","Eixo coberto por exercicios."
"muscle","judo","judo","19","okWithResults","Eixo coberto por exercicios."
"muscle","taekwondo","taekwondo","17","okWithResults","Eixo coberto por exercicios."
"muscle","defesa_pessoal","defesa pessoal","24","okWithResults","Eixo coberto por exercicios."
"muscle","artes_marciais","artes marciais","4","okWithResults","Eixo coberto por exercicios."
"muscle","elasticidade","elasticidade","132","okWithResults","Eixo coberto por exercicios."
"muscle","recuperacao","recuperacao","122","okWithResults","Eixo coberto por exercicios."
"muscle","aquecimento","aquecimento","131","okWithResults","Eixo coberto por exercicios."
"muscle","ativacao","ativacao","52","okWithResults","Eixo coberto por exercicios."
"muscle","prevencao","prevencao","44","okWithResults","Eixo coberto por exercicios."
"joint","cervical_stabilizers","cervical stabilizers","5","okWithResults","Eixo coberto por exercicios."
"joint","wrist","wrist","10","okWithResults","Eixo coberto por exercicios."
"joint","fingers","fingers","6","okWithResults","Eixo coberto por exercicios."
"joint","hip_flexors","hip flexors","14","okWithResults","Eixo coberto por exercicios."
"joint","ankle","ankle","43","okWithResults","Eixo coberto por exercicios."
"joint","feet","feet","51","okWithResults","Eixo coberto por exercicios."
"joint","hip_external_rotators","hip external rotators","1","okWithResults","Eixo coberto por exercicios."
"modality","strength","Musculacao","207","okWithResults","Eixo coberto por exercicios."
"modality","cardio","Cardio","65","okWithResults","Eixo coberto por exercicios."
"modality","martial_arts","Artes marciais","232","okWithResults","Eixo coberto por exercicios."
"modality","mobility","Mobilidade","193","okWithResults","Eixo coberto por exercicios."
"modality","elasticity","Elasticidade","132","okWithResults","Eixo coberto por exercicios."
"modality","recovery","Recuperacao","122","okWithResults","Eixo coberto por exercicios."
"modality","warmup","Aquecimento","131","okWithResults","Eixo coberto por exercicios."
"modality","activation","Ativacao","52","okWithResults","Eixo coberto por exercicios."
"modality","prevention","Prevencao","44","okWithResults","Eixo coberto por exercicios."
"martial_art","karate","Karate","50","okWithResults","Eixo coberto por exercicios."
"martial_art","jiu_jitsu","Jiu-Jitsu","53","okWithResults","Eixo coberto por exercicios."
"martial_art","martial_conditioning","Condicionamento para artes marciais","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"martial_art","martial_mobility","Mobilidade para artes marciais","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
